2023-06-11 11:12:53,389 INFO    wandb-upload_0:73705 [upload_job.py:push():137] Uploaded file /var/folders/1t/6l04b1413h7_m7f246431wmc0000gn/T/tmptfm2qgc3wandb/4xpen695-wandb-metadata.json
2023-06-11 11:12:54,350 INFO    Thread-17 :73705 [dir_watcher.py:_on_file_created():278] file/dir created: /Users/aysanaghazadeh/University/Pitt/Research/Milos/wave_form_data/ECG_PPG_project/classification/wandb/run-20230611_111251-pdpo8b2l/files/output.log
2023-06-11 11:12:56,360 INFO    Thread-17 :73705 [dir_watcher.py:_on_file_modified():295] file/dir modified: /Users/aysanaghazadeh/University/Pitt/Research/Milos/wave_form_data/ECG_PPG_project/classification/wandb/run-20230611_111251-pdpo8b2l/files/output.log
2023-06-11 11:12:56,709 DEBUG   HandlerThread:73705 [handler.py:handle_request():144] handle_request: status_report
2023-06-11 11:13:01,734 DEBUG   HandlerThread:73705 [handler.py:handle_request():144] handle_request: status_report
2023-06-11 11:13:06,750 DEBUG   HandlerThread:73705 [handler.py:handle_request():144] handle_request: status_report
2023-06-11 11:13:08,012 DEBUG   HandlerThread:73705 [handler.py:handle_request():144] handle_request: stop_status
2023-06-11 11:13:08,012 DEBUG   SenderThread:73705 [sender.py:send_request():402] send_request: stop_status
2023-06-11 11:13:12,117 DEBUG   HandlerThread:73705 [handler.py:handle_request():144] handle_request: status_report
2023-06-11 11:13:17,138 DEBUG   HandlerThread:73705 [handler.py:handle_request():144] handle_request: status_report
2023-06-11 11:13:22,164 DEBUG   HandlerThread:73705 [handler.py:handle_request():144] handle_request: status_report
2023-06-11 11:13:22,462 INFO    Thread-17 :73705 [dir_watcher.py:_on_file_modified():295] file/dir modified: /Users/aysanaghazadeh/University/Pitt/Research/Milos/wave_form_data/ECG_PPG_project/classification/wandb/run-20230611_111251-pdpo8b2l/files/config.yaml
2023-06-11 11:13:23,017 DEBUG   HandlerThread:73705 [handler.py:handle_request():144] handle_request: stop_status
2023-06-11 11:13:23,018 DEBUG   SenderThread:73705 [sender.py:send_request():402] send_request: stop_status
2023-06-11 11:13:28,123 DEBUG   HandlerThread:73705 [handler.py:handle_request():144] handle_request: status_report
2023-06-11 11:13:33,143 DEBUG   HandlerThread:73705 [handler.py:handle_request():144] handle_request: status_report
2023-06-11 11:13:38,019 DEBUG   HandlerThread:73705 [handler.py:handle_request():144] handle_request: stop_status
2023-06-11 11:13:38,020 DEBUG   SenderThread:73705 [sender.py:send_request():402] send_request: stop_status
2023-06-11 11:13:39,115 DEBUG   HandlerThread:73705 [handler.py:handle_request():144] handle_request: status_report
2023-06-11 11:13:44,128 DEBUG   HandlerThread:73705 [handler.py:handle_request():144] handle_request: status_report
2023-06-11 11:13:49,147 DEBUG   HandlerThread:73705 [handler.py:handle_request():144] handle_request: status_report
2023-06-11 11:13:51,517 DEBUG   SystemMonitor:73705 [system_monitor.py:_start():159] Starting system metrics aggregation loop
2023-06-11 11:13:51,519 DEBUG   SenderThread:73705 [sender.py:send():375] send: stats
2023-06-11 11:13:53,023 DEBUG   HandlerThread:73705 [handler.py:handle_request():144] handle_request: stop_status
2023-06-11 11:13:53,024 DEBUG   SenderThread:73705 [sender.py:send_request():402] send_request: stop_status
2023-06-11 11:13:55,105 DEBUG   HandlerThread:73705 [handler.py:handle_request():144] handle_request: status_report
2023-06-11 11:14:00,126 DEBUG   HandlerThread:73705 [handler.py:handle_request():144] handle_request: status_report
2023-06-11 11:14:05,144 DEBUG   HandlerThread:73705 [handler.py:handle_request():144] handle_request: status_report
2023-06-11 11:14:08,026 DEBUG   HandlerThread:73705 [handler.py:handle_request():144] handle_request: stop_status
2023-06-11 11:14:08,027 DEBUG   SenderThread:73705 [sender.py:send_request():402] send_request: stop_status
2023-06-11 11:14:10,144 DEBUG   HandlerThread:73705 [handler.py:handle_request():144] handle_request: partial_history
2023-06-11 11:14:10,149 DEBUG   SenderThread:73705 [sender.py:send():375] send: history
2023-06-11 11:14:10,150 DEBUG   HandlerThread:73705 [handler.py:handle_request():144] handle_request: status_report
2023-06-11 11:14:10,150 DEBUG   SenderThread:73705 [sender.py:send_request():402] send_request: summary_record
2023-06-11 11:14:10,153 INFO    SenderThread:73705 [sender.py:_save_file():1378] saving file wandb-summary.json with policy end
2023-06-11 11:14:10,668 INFO    Thread-17 :73705 [dir_watcher.py:_on_file_modified():295] file/dir modified: /Users/aysanaghazadeh/University/Pitt/Research/Milos/wave_form_data/ECG_PPG_project/classification/wandb/run-20230611_111251-pdpo8b2l/files/wandb-summary.json
2023-06-11 11:14:12,679 INFO    Thread-17 :73705 [dir_watcher.py:_on_file_modified():295] file/dir modified: /Users/aysanaghazadeh/University/Pitt/Research/Milos/wave_form_data/ECG_PPG_project/classification/wandb/run-20230611_111251-pdpo8b2l/files/output.log
2023-06-11 11:14:15,178 DEBUG   HandlerThread:73705 [handler.py:handle_request():144] handle_request: status_report
2023-06-11 11:14:20,201 DEBUG   HandlerThread:73705 [handler.py:handle_request():144] handle_request: status_report
2023-06-11 11:14:21,526 DEBUG   SenderThread:73705 [sender.py:send():375] send: stats
2023-06-11 11:14:23,032 DEBUG   HandlerThread:73705 [handler.py:handle_request():144] handle_request: stop_status
2023-06-11 11:14:23,033 DEBUG   SenderThread:73705 [sender.py:send_request():402] send_request: stop_status
2023-06-11 11:14:26,136 DEBUG   HandlerThread:73705 [handler.py:handle_request():144] handle_request: status_report
2023-06-11 11:14:31,154 DEBUG   HandlerThread:73705 [handler.py:handle_request():144] handle_request: status_report
2023-06-11 11:14:36,177 DEBUG   HandlerThread:73705 [handler.py:handle_request():144] handle_request: status_report
2023-06-11 11:14:38,033 DEBUG   HandlerThread:73705 [handler.py:handle_request():144] handle_request: stop_status
2023-06-11 11:14:38,034 DEBUG   SenderThread:73705 [sender.py:send_request():402] send_request: stop_status
2023-06-11 11:14:42,143 DEBUG   HandlerThread:73705 [handler.py:handle_request():144] handle_request: status_report
2023-06-11 11:14:47,162 DEBUG   HandlerThread:73705 [handler.py:handle_request():144] handle_request: status_report
2023-06-11 11:14:51,532 DEBUG   SenderThread:73705 [sender.py:send():375] send: stats
2023-06-11 11:14:52,537 DEBUG   HandlerThread:73705 [handler.py:handle_request():144] handle_request: status_report
2023-06-11 11:14:53,038 DEBUG   HandlerThread:73705 [handler.py:handle_request():144] handle_request: stop_status
2023-06-11 11:14:53,039 DEBUG   SenderThread:73705 [sender.py:send_request():402] send_request: stop_status
2023-06-11 11:14:58,134 DEBUG   HandlerThread:73705 [handler.py:handle_request():144] handle_request: status_report
2023-06-11 11:15:03,153 DEBUG   HandlerThread:73705 [handler.py:handle_request():144] handle_request: status_report
2023-06-11 11:15:08,040 DEBUG   HandlerThread:73705 [handler.py:handle_request():144] handle_request: stop_status
2023-06-11 11:15:08,041 DEBUG   SenderThread:73705 [sender.py:send_request():402] send_request: stop_status
2023-06-11 11:15:09,126 DEBUG   HandlerThread:73705 [handler.py:handle_request():144] handle_request: status_report
2023-06-11 11:15:14,149 DEBUG   HandlerThread:73705 [handler.py:handle_request():144] handle_request: status_report
2023-06-11 11:15:19,172 DEBUG   HandlerThread:73705 [handler.py:handle_request():144] handle_request: status_report
2023-06-11 11:15:21,538 DEBUG   SenderThread:73705 [sender.py:send():375] send: stats
2023-06-11 11:15:23,043 DEBUG   HandlerThread:73705 [handler.py:handle_request():144] handle_request: stop_status
2023-06-11 11:15:23,044 DEBUG   SenderThread:73705 [sender.py:send_request():402] send_request: stop_status
2023-06-11 11:15:25,140 DEBUG   HandlerThread:73705 [handler.py:handle_request():144] handle_request: status_report
2023-06-11 11:15:30,163 DEBUG   HandlerThread:73705 [handler.py:handle_request():144] handle_request: status_report
2023-06-11 11:15:35,187 DEBUG   HandlerThread:73705 [handler.py:handle_request():144] handle_request: status_report
2023-06-11 11:15:38,044 DEBUG   HandlerThread:73705 [handler.py:handle_request():144] handle_request: stop_status
2023-06-11 11:15:38,044 DEBUG   SenderThread:73705 [sender.py:send_request():402] send_request: stop_status
2023-06-11 11:15:41,138 DEBUG   HandlerThread:73705 [handler.py:handle_request():144] handle_request: status_report
2023-06-11 11:15:46,156 DEBUG   HandlerThread:73705 [handler.py:handle_request():144] handle_request: status_report
2023-06-11 11:15:51,182 DEBUG   HandlerThread:73705 [handler.py:handle_request():144] handle_request: status_report
2023-06-11 11:15:51,545 DEBUG   SenderThread:73705 [sender.py:send():375] send: stats
